iter	RMSE
0	0.5019577134
1	0.4876571473
2	0.474467114
3	0.462508567
4	0.4515626569
5	0.4405498849
6	0.4298514734
7	0.4200734867
8	0.4106510488
9	0.4007680836
10	0.3904539432
11	0.3807213169
12	0.3721819473
13	0.3642634454
14	0.3570912507
15	0.3499198173
16	0.3433108041
17	0.3368131591
18	0.330686358
19	0.3250895552
20	0.3199948321
21	0.3151948596
22	0.310557102
23	0.3062898044
24	0.3023026297
25	0.2983325803
26	0.2946699499
27	0.291355184
28	0.2886839341
29	0.2855576703
30	0.282559192
31	0.2799630464
32	0.2774634868
33	0.2744540975
34	0.2719787757
35	0.2695752877
36	0.267369812
37	0.2654009715
38	0.2634710451
39	0.2617954072
40	0.2601619812
41	0.2585902873
42	0.2569956531
43	0.2554992216
44	0.2537810115
45	0.2522822242
46	0.2511551863
47	0.2498131901
48	0.2486457011
49	0.2475600031
50	0.2464460445
51	0.2452361505
52	0.2442197467
53	0.2431095161
54	0.2421218816
55	0.2412443958
56	0.2404620995
57	0.239670095
58	0.2388504038
59	0.2378999554
60	0.2371742806
61	0.236506142
62	0.2358453848
63	0.2351313248
64	0.2345621826
65	0.2339563429
66	0.2332089268
67	0.2325934318
68	0.2320743728
69	0.2315905974
70	0.2310418793
71	0.2305615041
72	0.2300492886
73	0.2295546677
74	0.2291547397
75	0.2286937029
76	0.2283163706
77	0.2278603984
78	0.2274490802
79	0.2269543755
80	0.2266700361
81	0.2264136242
82	0.2260333436
83	0.2256142992
84	0.2252634895
85	0.2250682848
86	0.2246981861
87	0.2243672069
88	0.2240099703
89	0.2237715911
90	0.2232844066
91	0.2229670026
92	0.2225208512
93	0.2222611614
94	0.2220436473
95	0.2217191289
96	0.2213935244
97	0.2210256655
98	0.2206978851
99	0.2204658558
100	0.2202812745
101	0.2200030634
102	0.2197595631
103	0.2195485933
104	0.2192074539
105	0.2189840818
106	0.2186622419
107	0.2183640991
108	0.218172233
109	0.2179599382
110	0.2175988761
111	0.2175569741
112	0.2172867849
113	0.2168603877
114	0.2166076191
115	0.2164539765
116	0.2161720892
117	0.2159788066
118	0.2157080372
119	0.215590795
120	0.2154090847
121	0.2153707005
122	0.2150336603
123	0.2147749488
124	0.2145865105
125	0.2143559087
