iter	Passed	Remaining
0	293	440064
1	439	329506
2	600	299472
3	731	273731
4	854	255461
5	978	243680
6	1071	228608
7	1228	229129
8	1361	225546
9	1496	223011
10	1595	215989
11	1693	209960
12	1787	204498
13	1891	200722
14	2017	199759
15	2106	195370
16	2272	198273
17	2417	199035
18	2526	196948
19	2621	193965
20	2708	190749
21	2803	188360
22	2889	185562
23	2991	183960
24	3084	181990
25	3169	179678
26	3363	183509
27	3504	184228
28	3627	184006
29	3770	184740
30	3880	183862
31	3962	181796
32	4064	180688
33	4148	178861
34	4232	177174
35	4324	175869
36	4411	174420
37	4508	173449
38	4598	172279
39	4723	172405
40	4840	172260
41	4963	172317
42	5069	171788
43	5163	170860
44	5265	170260
45	5383	170176
46	5499	170018
47	5622	170088
48	5719	169356
49	5824	168909
50	5913	168003
51	6006	167248
52	6113	166916
53	6202	166093
54	6291	165289
55	6396	164927
56	6477	163994
57	6586	163755
58	6671	162945
59	6756	162161
60	6848	161557
61	6932	160799
62	7023	160201
63	7136	160115
64	7218	159360
65	7302	158657
66	7397	158223
67	7489	157710
68	7575	157110
69	7670	156707
70	7758	156147
71	7862	155944
72	7959	155598
73	8044	155019
74	8154	154934
75	8240	154405
76	8323	153825
77	8419	153485
78	8502	152937
79	8588	152449
80	8691	152268
81	8778	151804
82	8869	151420
83	8995	151633
84	9089	151319
85	9185	151029
86	9280	150733
87	9366	150287
88	9547	151357
89	9742	152638
90	9903	153338
91	10082	154299
92	10224	154687
93	10402	155588
94	10626	157162
95	10761	157394
96	10888	157488
97	10999	157367
98	11094	157006
99	11199	156797
100	11322	156830
101	11432	156685
102	11550	156656
103	11668	156628
104	11806	156855
105	11908	156603
106	12054	156933
107	12266	158101
108	12387	158083
109	12497	157923
110	12632	158074
111	12677	157112
112	12791	157003
113	12884	156647
114	12979	156315
115	13130	156662
116	13223	156311
117	13327	156093
118	13451	156102
119	13562	155973
120	13663	155723
121	13704	154796
122	13833	154871
123	13964	154955
124	14080	154887
125	14191	154759
126	14297	154574
127	14421	154585
128	14555	154695
129	14691	154827
130	14783	154496
131	14899	154410
132	14995	154126
133	15084	153767
134	15192	153616
135	15278	153239
136	15389	153105
137	15477	152752
138	15577	152525
139	15704	152555
140	15829	152568
141	15939	152436
142	16051	152324
143	16188	152446
144	16285	152188
145	16376	151872
146	16470	151597
147	16556	151245
148	16650	150976
149	16740	150660
150	16825	150311
151	16928	150125
152	17032	149949
153	17124	149673
154	17239	149597
155	17330	149308
156	17363	148533
157	17451	148226
158	17533	147873
159	17568	147133
160	17648	146779
161	17741	146529
162	17788	145912
163	17888	145726
164	17983	145505
165	18065	145178
166	18152	144897
167	18248	144685
168	18334	144401
169	18416	144081
170	18507	143842
171	18587	143509
172	18683	143315
173	18773	143064
174	18859	142789
175	18937	142459
176	19027	142224
177	19112	141951
178	19211	141780
179	19318	141672
180	19413	141473
181	19531	141445
182	19624	141229
183	19708	140955
184	19806	140790
185	19896	140556
186	20000	140431
187	20097	140255
188	20180	139983
189	20262	139707
190	20348	139453
191	20425	139151
192	20511	138904
193	20605	138714
194	20686	138441
195	20770	138187
196	20862	137986
197	20946	137736
198	21035	137525
199	21124	137312
200	21205	137043
201	21286	136783
202	21373	136557
203	21461	136341
204	21541	136077
205	21682	136199
206	21809	136230
207	21912	136108
208	22007	135942
209	22114	135844
210	22193	135582
211	22278	135351
212	22378	135213
213	22467	135012
214	22565	134868
215	22666	134739
216	22745	134478
217	22826	134238
218	22918	134054
219	23001	133825
220	23082	133585
221	23173	133403
222	23249	133139
223	23328	132891
224	23419	132708
225	23500	132478
226	23582	132250
227	23674	132079
228	23756	131853
229	23837	131624
230	23931	131468
231	24010	131228
232	24086	130976
233	24180	130820
234	24258	130584
235	24342	130374
236	24437	130230
237	24514	129990
238	24600	129796
239	24693	129638
240	24774	129422
241	24856	129211
242	24948	129052
243	25028	128835
244	25108	128617
245	25203	128476
246	25294	128316
247	25374	128099
248	25476	127994
249	25555	127777
250	25633	127552
251	25718	127368
252	25797	127149
253	25888	126994
254	25976	126826
255	26077	126722
256	26155	126501
257	26245	126345
258	26326	126143
259	26448	126140
260	26562	126094
261	26683	126082
262	26799	126051
263	26895	125919
264	27005	125858
265	27108	125757
266	27191	125571
267	27281	125412
268	27360	125206
269	27440	125006
270	27538	124889
271	27626	124723
272	27707	124529
273	27793	124362
274	27883	124209
275	27962	124005
276	28042	123812
277	28140	123697
278	28228	123536
279	28330	123441
280	28414	123262
281	28505	123119
282	28595	122970
283	28686	122826
284	28770	122652
285	28860	122503
286	28940	122317
287	29036	122193
288	29134	122081
289	29229	121958
290	29363	121993
291	29461	121882
292	29545	121711
293	29635	121567
294	29719	121395
295	29799	121211
296	29897	121101
297	29980	120927
298	30064	120760
299	30174	120698
300	30282	120628
301	30371	120479
302	30470	120372
303	30553	120203
304	30641	120053
305	30730	119911
306	30813	119741
307	30899	119584
308	30997	119474
309	31075	119291
310	31164	119147
311	31278	119099
312	31362	118937
313	31460	118830
314	31543	118665
315	31652	118597
316	31764	118540
317	31859	118422
318	31965	118340
319	32060	118221
320	32143	118059
321	32377	118449
322	32569	118683
323	32668	118575
324	32773	118490
325	32898	118474
