iter	Passed	Remaining
0	150	136527
1	322	146059
2	431	130032
3	582	131696
4	800	144557
5	987	148492
6	1189	153044
7	1382	155565
8	1493	149177
9	1667	149717
10	1855	151305
11	2042	152524
12	2212	152290
13	2373	151566
14	2547	151680
15	2661	148392
16	2808	147176
17	2989	147829
18	3182	148904
19	3374	149805
20	3556	150198
21	3745	150836
22	3933	151358
23	4116	151635
24	4266	150681
25	4444	150763
26	4614	150564
27	4796	150750
28	4861	147347
29	5040	147510
30	5278	149334
31	5532	151464
32	5685	150763
33	5926	152333
34	6193	154484
35	6388	154740
36	6565	154547
37	6767	154934
38	6973	155384
39	7169	155568
40	7282	153989
41	7436	153326
42	7634	153571
43	7815	153459
44	8002	153462
45	8189	153467
46	8370	153333
47	8597	154038
48	8708	152669
49	8879	152365
50	9064	152322
51	9124	150203
52	9287	149825
53	9467	149725
54	9671	149990
55	9870	150178
56	10057	150159
57	10246	150169
58	10443	150280
59	10648	150495
60	10851	150672
61	11046	150731
62	11248	150876
63	11505	151733
64	11720	152006
65	11893	151733
66	12101	151902
67	12309	152063
68	12476	151703
69	12646	151402
70	12735	150137
71	12900	149787
72	13034	149092
73	13243	149261
74	13501	149958
75	13871	151854
76	14180	153034
77	14365	152859
78	14555	152736
79	14792	153102
80	15006	153213
81	15187	152989
82	15363	152712
83	15568	152720
84	15744	152443
85	15802	151046
86	15954	150558
87	16126	150272
88	16296	149965
89	16496	149932
90	16739	150288
91	16926	150131
92	17107	149916
93	17254	149414
94	17429	149164
95	17609	148947
96	17791	148754
97	17979	148608
98	18188	148627
99	18374	148462
100	18491	147746
101	18649	147370
102	18852	147341
103	18937	146399
104	19123	146247
105	19310	146101
106	19505	146016
107	19711	146013
108	19782	145013
109	19963	144826
110	20183	144920
111	20364	144733
112	20561	144658
113	20757	144575
114	20927	144311
115	21155	144441
116	21451	145027
117	21744	145577
118	21876	145048
119	22104	145155
120	22189	144321
121	22228	143209
122	22393	142916
123	22589	142825
124	22786	142735
125	22966	142538
126	23176	142528
127	23361	142359
128	23551	142219
129	23694	141801
130	23756	140906
131	23922	140633
132	24111	140498
133	24292	140314
134	24463	140079
135	24563	139432
136	24729	139169
137	24830	138546
138	25023	138440
139	25234	138428
140	25436	138368
141	25641	138321
142	25832	138194
143	26041	138165
144	26244	138100
145	26417	137878
146	26531	137349
147	26701	137116
148	26817	136606
149	26983	136354
150	27168	136202
151	27360	136081
152	27564	136018
153	27767	135953
154	27848	135289
155	28009	135020
156	28221	134996
157	28432	134966
158	28626	134848
159	28798	134634
160	28989	134503
161	29208	134503
162	29472	134706
163	29725	134852
164	29953	134881
165	30159	134809
166	30357	134700
167	30548	134556
168	30747	134452
169	30927	134263
170	31109	134079
171	31298	133929
172	31506	133858
173	31715	133788
174	31817	133271
175	31978	133002
176	32183	132918
177	32381	132798
178	32461	132203
179	32655	132074
180	32847	131934
181	32936	131384
182	33123	131227
183	33314	131086
184	33511	130964
185	33704	130831
186	33898	130698
187	34103	130608
188	34314	130539
189	34497	130363
190	34700	130261
191	34883	130085
192	35078	129955
193	35262	129780
194	35441	129588
195	35636	129456
196	35808	129238
197	36003	129101
198	36204	128989
199	36407	128883
200	36605	128757
201	36801	128624
202	36990	128464
203	37229	128479
204	37487	128553
205	37729	128573
206	38018	128749
207	38242	128700
208	38462	128638
209	38693	128608
210	38906	128520
211	39131	128468
212	39380	128494
213	39546	128250
214	39766	128177
215	40011	128186
216	40255	128187
217	40476	128113
218	40684	127998
219	40896	127893
220	41086	127721
221	41289	127587
222	41479	127415
223	41668	127236
224	41880	127131
225	42076	126972
226	42297	126891
227	42543	126883
228	42761	126790
229	42957	126631
230	43160	126492
231	43373	126381
232	43590	126280
233	43672	125791
234	43877	125656
235	44108	125597
236	44347	125557
237	44536	125374
238	44762	125297
239	44990	125222
240	45277	125311
241	45525	125290
242	45772	125263
243	46034	125275
244	46220	125077
245	46413	124901
246	46586	124670
247	46769	124467
248	46977	124330
249	47171	124156
250	47355	123955
251	47558	123803
252	47779	123697
253	48001	123594
254	48214	123468
255	48422	123325
256	48481	122807
257	48862	123103
258	49223	123344
259	49463	123277
260	49650	123080
261	49891	123014
262	50072	122800
263	50291	122680
264	50484	122495
265	50685	122330
266	50877	122143
267	51073	121966
268	51270	121791
269	51477	121640
270	51690	121500
271	51905	121368
272	52112	121213
273	52347	121125
274	52587	121047
275	52803	120912
276	53001	120735
277	53257	120692
278	53563	120757
279	53846	120770
280	54214	120969
281	54440	120849
282	54663	120723
283	54859	120536
284	55043	120322
285	55231	120119
286	55433	119945
287	55633	119766
288	55810	119539
289	56000	119338
290	56186	119130
291	56355	118887
292	56538	118671
293	56864	118756
294	57122	118697
295	57334	118542
296	57560	118416
297	57791	118297
298	58010	118155
299	58217	117988
300	58437	117845
301	58652	117693
302	58863	117532
303	59051	117325
304	59250	117141
305	59437	116932
306	59629	116733
307	59820	116533
308	59880	116078
309	60059	115856
310	60244	115645
311	60432	115442
312	60644	115282
313	60836	115086
314	61035	114901
315	61307	114853
316	61560	114770
